"NK_cluster","source","absolute_count","pct"
"1","lung_tumor",1302,63.9
"1","melanoma",255,12.5
"1","sarcoma",143,7
"1","pancreas_tumor",127,6.2
"1","glioblastoma",110,5.4
"1","breast_tumor",82,4
"1","prostate_tumor",18,0.9
"2","lung_tumor",949,47.5
"2","glioblastoma",513,25.7
"2","breast_tumor",255,12.8
"2","melanoma",166,8.3
"2","sarcoma",52,2.6
"2","pancreas_tumor",46,2.3
"2","prostate_tumor",16,0.8
"3","melanoma",374,33.4
"3","lung_tumor",284,25.3
"3","glioblastoma",197,17.6
"3","breast_tumor",193,17.2
"3","sarcoma",38,3.4
"3","pancreas_tumor",26,2.3
"3","prostate_tumor",9,0.8
"4","lung_tumor",466,44.1
"4","melanoma",410,38.8
"4","breast_tumor",96,9.1
"4","glioblastoma",57,5.4
"4","prostate_tumor",13,1.2
"4","pancreas_tumor",8,0.8
"4","sarcoma",7,0.7
"5","glioblastoma",95,73.1
"5","lung_tumor",21,16.2
"5","melanoma",9,6.9
"5","breast_tumor",4,3.1
"5","pancreas_tumor",1,0.8
