"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.47722288261338e-320,2.60800964761071,0.876,0.427,6.30795931931399e-316,"4","DNAJB1"
1.81968742008416e-312,2.88369619531576,0.754,0.237,2.56375760615657e-308,"4","HSPA1B"
4.55919860643663e-301,2.71434198602226,0.847,0.362,6.42345491660857e-297,"4","HSPA1A"
3.75257358384278e-268,2.29615639709018,0.895,0.522,5.2870009222761e-264,"4","JUN"
5.23844500917595e-188,1.6344126206069,0.956,0.84,7.380445173428e-184,"4","HSP90AA1"
6.81929812589673e-128,3.71353232866551,0.317,0.072,9.60770912957591e-124,"4","HSPA6"
5.90276639383369e-126,1.43928676798068,0.854,0.671,8.31640757227229e-122,"4","DUSP1"
2.30462370800462e-113,2.25330367893263,0.407,0.134,3.24698434220771e-109,"4","RHOB"
2.18492590475565e-111,1.72682968515607,0.72,0.469,3.07834210721024e-107,"4","GADD45B"
2.3886641912728e-106,1.45139180195309,0.78,0.567,3.36538897908424e-102,"4","DNAJA1"
3.04336402650974e-105,1.04254888165289,0.874,0.752,4.28779557694957e-101,"4","HSPA8"
1.93465571839549e-101,1.39747133490154,0.844,0.671,2.7257364416474e-97,"4","FOS"
6.00463244438037e-101,1.47435462707227,0.689,0.422,8.45992665088751e-97,"4","PPP1R15A"
2.86345113051085e-99,1.23300105560771,0.886,0.759,4.03431629777674e-95,"4","JUNB"
6.71316305151641e-91,1.81540685193725,0.509,0.242,9.45817542328147e-87,"4","HSPH1"
2.48438214637748e-86,1.381077808897,0.711,0.486,3.50024600603123e-82,"4","FOSB"
2.0628386103307e-85,0.811972605443743,0.933,0.875,2.90633331809493e-81,"4","UBC"
2.4587701691696e-85,1.1028191431317,0.846,0.696,3.46416129134305e-81,"4","HSP90AB1"
2.5217388046772e-78,1.61310920047546,0.488,0.237,3.5528778019097e-74,"4","NR4A1"
3.6869027565877e-77,2.12066687264593,0.353,0.133,5.19447729375642e-73,"4","EGR1"
4.42041679482337e-70,1.36601936627229,0.668,0.502,6.22792522222664e-66,"4","HSPE1"
1.4090148889944e-69,1.19412012891835,0.84,0.723,1.9851610771042e-65,"4","CD69"
2.02847689203695e-68,2.09151212206403,0.471,0.251,2.85792109319085e-64,"4","HSPB1"
4.16697835622399e-68,2.905070851138,0.168,0.034,5.87085580608398e-64,"4","BAG3"
2.38710003501964e-67,0.724377076277301,0.924,0.903,3.36318523933918e-63,"4","UBB"
5.17325176343199e-67,1.75368604291349,0.507,0.27,7.28859440949933e-63,"4","IFNG"
1.38566827027713e-64,0.760316064738861,0.957,0.844,1.95226802599344e-60,"4","FTL"
1.51855007978928e-63,2.24895932447674,0.311,0.121,2.13948520741512e-59,"4","ZFAND2A"
6.51724883430372e-60,1.60539531739707,0.488,0.278,9.18215188265051e-56,"4","CITED2"
2.31768419133022e-55,1.57771899721966,0.318,0.13,3.26538525716515e-51,"4","NEU1"
3.99433378168333e-55,1.1259364038247,0.849,0.79,5.62761686501364e-51,"4","ID2"
1.99615330713488e-52,1.13426880354801,0.695,0.561,2.81238039442233e-48,"4","SAT1"
5.09970460137141e-50,1.57831523482554,0.464,0.275,7.18497381287218e-46,"4","INTS6"
2.57720027066887e-49,-2.35416528980002,0.114,0.328,3.63101746134538e-45,"4","FGFBP2"
9.66571387895252e-49,2.64115457204908,0.132,0.029,1.36180242840562e-44,"4","SERPINH1"
3.51414373729875e-47,0.956864554809131,0.796,0.717,4.95107711148021e-43,"4","IER2"
8.05256873028809e-46,1.7738077920727,0.284,0.122,1.13452640841029e-41,"4","ATF3"
2.88455241474703e-45,1.97911811625514,0.297,0.136,4.06404589713709e-41,"4","IER3"
2.3965790688566e-44,2.48382614146238,0.151,0.042,3.37654025011206e-40,"4","DNAJA4"
2.2237463781172e-42,1.21238865559676,0.536,0.356,3.13303627212933e-38,"4","RGS2"
3.5809547224327e-42,-0.845362073014207,0.512,0.711,5.04520710843544e-38,"4","PRF1"
1.73998310472226e-41,1.40652232729718,0.424,0.261,2.45146219624319e-37,"4","CACYBP"
