"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","NK_cluster"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000172704909468034,0.00673549146925334,0.518848077743792,-0.644176345685629,-1.77938914100834,74,"AREG;DUSP4;CD44;FOSB;CD69;JUNB;FOS;DUSP1;JUN;NR4A1;PPP1R15A;REL;PDE4B;NFKBIA;CSF1;IL7R;TNFAIP3;DUSP2;SOCS3;CD83;MCL1;BTG1;GPR183;EGR1;NFKB1;PFKFB3;MAFF;ZFP36;ZC3H12A;RHOB;KDM6B;ATF3;BIRC3;NINJ1;PHLDA1;GADD45B;IER3;NR4A2;ICAM1","1"
"HALLMARK_ALLOGRAFT_REJECTION",0.00154933909549096,0.0433814946737469,0.45505986738723,-0.615476662424488,-1.81410148649545,44,"CCL5;GZMA;CCL4;CD247;PRF1;GZMB;CSF1;LCK;FASLG;CCND2;F2R","3"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1e-10,3.6e-09,NA,0.856754821397662,2.37450904974299,75,"JUN;DUSP1;RHOB;GADD45B;FOS;PPP1R15A;JUNB;FOSB;NR4A1;EGR1;CD69;ID2;SAT1;IER2;ATF3;IER3;NFKBIA;DUSP2;DNAJB4;ZC3H12A;SGK1;EIF1;BTG2;CDKN1A;CD83;SOCS3;KLF6;PLK2;IER5;TUBB2A;ZFP36;EGR2;TSC22D1;PHLDA1","4"
"HALLMARK_UV_RESPONSE_UP",2.94334478978126e-06,5.29802062160627e-05,0.627256739718528,0.852732984895777,2.17099441734635,43,"DNAJB1;RHOB;DNAJA1;FOS;JUNB;FOSB;NR4A1;ATF3;NFKBIA;HSPA2;FKBP4;NXF1;BTG2","4"
"HALLMARK_APOPTOSIS",0.000189371129254932,0.00170434016329439,0.518848077743792,0.79056543794205,2.0564658738697,49,"JUN;RHOB;GADD45B;DNAJA1;CD69;HSPB1;SAT1;ATF3;IER3;BTG2;PMAIP1;CDKN1A;LMNA;DDIT3","4"
"HALLMARK_P53_PATHWAY",0.000181428897804346,0.00170434016329439,0.518848077743792,0.790763970575807,2.04329259479179,47,"JUN;FOS;PPP1R15A;SAT1;ATF3;IER3;HEXIM1;BTG2;CDKN1A;RGS16;DDIT3;PLK2;IER5;PLK3;ZFP36L1;TSC22D1;DDIT4;TSPYL2;SOCS1;TXNIP;MXD1;TOB1;CD82;TNFSF9","4"
"HALLMARK_HYPOXIA",0.000517481745576055,0.00372586856814759,0.477270815362862,0.780609670331107,2.00364604335113,45,"JUN;DUSP1;FOS;PPP1R15A;CITED2;ATF3;IER3;CDKN1A;DDIT3;KLF6;ZFP36;HSPA5;DDIT4;PLIN2","4"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00172665723201448,0.0103599433920869,0.45505986738723,0.86996109123103,1.94636753925858,19,"JUN;RHOB;GADD45B;ID2;SAT1;SERPINH1","4"
"HALLMARK_E2F_TARGETS",1e-10,1.4e-09,NA,0.879908352173772,2.02635493881669,184,"SPC24;DLGAP5;KIF2C;SPC25;TOP2A;AURKB;HMMR;MKI67;TK1;CDK1;CDCA8;BIRC5;ASF1B;RAD51AP1;CENPM;CDCA3;UBE2T;RRM2;MYBL2;CCNB2;DIAPH3;CDKN3;MCM4;BRCA1;MELK;MCM2;KIF4A;TCF19;MAD2L1;PLK1;ORC6;CENPE;BUB1B;CHEK1;CIT;MCM7;DSCC1;HELLS;BRCA2;STMN1;LIG1;GINS1;MCM5;CDC20;RNASEH2A;E2F8;MXD3;KIF18B;RACGAP1;TRIP13;HMGB3;PLK4;PCNA;DEPDC1;ATAD2;PSMC3IP;BARD1;POLA2;MCM6;ESPL1;RFC3;MCM3;TUBG1;DUT;EZH2;CBX5;TACC3;TIMELESS;USP1;TMPO;PAICS;AURKA;RFC2;CDK4;SHMT1;SPAG5;PTTG1;MSH2;RPA3;SMC4;KIF22;DNMT1;DDX39A;LMNB1;UNG;HMGB2;POLD2;POP7;RANBP1;NCAPD2;SSRP1;RBBP7;DCTPP1;NME1;POLE;DEK;RAD51C;CDKN2C;HMGA1;SMC1A;EXOSC8;CHEK2;MMS22L;RAN;GINS3;CSE1L;RPA1;POLD3;DONSON;TP53;TIPIN;MLH1;PRIM2;PSIP1;SMC3;PDS5B;SLBP","5"
"HALLMARK_G2M_CHECKPOINT",1e-10,1.4e-09,NA,0.877912930109545,2.01517971150559,157,"KIF15;KIF2C;TOP2A;UBE2C;AURKB;HMMR;MKI67;CDK1;BIRC5;TPX2;GINS2;CCNA2;MYBL2;CCNB2;KIF11;CENPA;CDC45;NUSAP1;KIF23;CDKN3;MCM2;KIF4A;CENPF;PRC1;MAD2L1;PBK;PLK1;SMC2;ORC6;TROAP;CENPE;CHEK1;POLQ;NEK2;CDC6;BUB1;DTYMK;NDC80;BRCA2;STMN1;MCM5;CDC20;CHAF1A;RACGAP1;CCNF;HMGB3;PLK4;E2F1;FBXO5;BARD1;POLA2;MCM6;ESPL1;TRAIP;MCM3;EZH2;KIF20B;E2F2;TACC3;TTK;TMPO;AURKA;CDK4;STIL;PTTG1;SMC4;KIF22;DDX39A;LMNB1;HMGN2;INCENP;POLE;TFDP1;CDKN2C;HMGA1;SNRPD1;SMC1A","5"
"HALLMARK_MITOTIC_SPINDLE",1e-10,1.4e-09,NA,0.814437072702498,1.86392285036107,133,"KIF15;DLGAP5;KIF2C;TOP2A;CDK1;BIRC5;TPX2;CCNB2;KIF11;NUSAP1;KIF23;ANLN;KIF4A;CENPF;PRC1;PLK1;CENPE;NEK2;BUB1;NDC80;BRCA2;RACGAP1;FBXO5;SAC3D1;ESPL1;KIF20B;TTK;AURKA;KNTC1;SMC4;KIF22;ECT2;LMNB1;INCENP;PIF1;SMC1A;NET1;SMC3;SASS6;CKAP5","5"
"HALLMARK_SPERMATOGENESIS",2.82490723274404e-06,2.96615259438124e-05,0.627256739718528,0.841396245918926,1.85866573930865,37,"KIF2C;CDK1;CCNB2;CDKN3;NCAPH;NEK2;BUB1;EZH2;RFC4;TTK;AURKA;PARP2;TOPBP1;TALDO1","5"
