"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","NK_cluster"
"GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN",1e-10,6.86e-08,NA,0.83575071292427,2.30211868927202,81,"FGFBP2;GZMH;CST7;NKG7;PRF1;GZMB;PRSS23;S100A4;EFHD2;CCL4;ADGRG1;ASCL2;ZEB2;TTC38;PYHIN1;GNLY;TGFBR3;CD99;SH3BP5;SYNE2;OSBPL5;LPCAT1;ITGAL;AHNAK;ADRB2;MYBL1;KLRD1;TBX21;APMAP;CTSC;LGALS1;PTP4A2;SLC15A4;MBP;GAB3;RAP2B;TNFRSF1B;KLRG1;ANXA4;CD226;CAST;DENND3","1"
"GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_DN",5.86990498210503e-08,2.01337740886203e-05,0.719512826338911,0.789213326193271,2.13099326969578,71,"FGFBP2;GZMH;CST7;NKG7;PRF1;S100A4;EFHD2;ADGRG1;ZEB2;TTC38;PYHIN1;TGFBR3;CD99;SH3BP5;SYNE2;LPCAT1;ITGAL;AHNAK;ADRB2;MYBL1;KLRD1;RAB29;TBX21;APMAP;CTSC;PTP4A2;SLC15A4;GAB3","1"
"GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_DN",3.63648371516381e-06,0.000831542609534124,0.627256739718528,0.845035015431784,2.01524541071067,35,"GZMH;PRF1;GZMB;PRSS23;ADGRG1;PLEK;LAIR2;TTC38","1"
"GSE15324_ELF4_KO_VS_WT_NAIVE_CD8_TCELL_DN",4.34711851076198e-05,0.00737440796768781,0.557332238758646,-0.845064029207462,-1.86135051591211,19,"RGS1;FOSB;HSPA1A;CD69;JUNB;DUSP1;PPP1R15A;TNFAIP3;CKS2","1"
"GSE37301_HEMATOPOIETIC_STEM_CELL_VS_RAG2_KO_NK_CELL_DN",5.37493292105526e-05,0.00737440796768781,0.557332238758646,-0.68942423373092,-1.84984185531486,62,"RGS1;HSP90AB1;FOSB;HSPA1A;CD69;JUNB;DUSP1;PLP2;DNAJB1;NR4A1;CXCR3;HSP90AA1;TNFAIP3;GPR183;UBC;STMN1;TUBA1A;RHOB;ATF3;GATA3;RGS2;ATF4;CITED2;ELF1","1"
"GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_UP",0.000127992607245029,0.0146338214283483,0.518848077743792,-0.722738916349068,-1.81133443796564,41,"RGS1;AREG;ITM2C;PABPC1;HSPH1;CXCR3;LMNA;TNFAIP3;BTG1;IFRD1;MAFF;ZFP36;SLC7A5;CLK1;BIRC3;ABCB1;SYPL1","1"
"GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD8_TCELL_DN",0.00015677196362001,0.015363652434761,0.518848077743792,0.766177412701281,1.90544904237396,44,"NKG7;PRF1;GZMB;CYBA;PLAC8;EFHD2;CCL4","1"
"GSE8678_IL7R_LOW_VS_HIGH_EFF_CD8_TCELL_UP",0.00022462841629146,0.0192618866969927,0.518848077743792,0.793680772553644,1.87256439717868,33,"PRF1;S1PR5;CX3CR1;CCL4;ITGB2;EMP3;ZEB2;FLNA;PRDM1;GSAP;RASGRP2;CCND3","1"
"GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_MCMV_INFECTION_DN",0.000509031414323173,0.0387995055806329,0.477270815362862,-0.792354771665001,-1.76466200209037,20,"LDLRAD4;DUSP1;JUN;NFKBIA;NFKBIZ;TNFAIP3;EGR1;CD82;CSRNP1;ATF3;P2RY10;IER3","1"
"GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_UP",0.000719658274173568,0.0493685576083068,0.477270815362862,0.794698828684975,1.8261528406393,29,"SPON2;ITGB2;GTF3C1;MTSS1","1"
"GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN",1.51104818249588e-10,7.47968850335459e-08,0.826657301178302,-0.760620219114595,-2.4033878961696,64,"CCL5;GZMA;CCL4;FGFBP2;GZMH;PRF1;GZMB;CST7;ADGRG1;NKG7;PYHIN1;SYNE2;PRSS23;LGALS1;LAG3;TIGIT;ANXA2;S100A4;GBP5;TTC38;CTSC;PTPN4;STARD3NL;EFHD2;CD99;CLEC2B","3"
