"NK_cluster_annotated","source","absolute_count","pct"
"Mature Cytotoxic NK","lung_tumor",1302,63.9
"Mature Cytotoxic NK","melanoma",255,12.5
"Mature Cytotoxic NK","sarcoma",143,7
"Mature Cytotoxic NK","pancreas_tumor",127,6.2
"Mature Cytotoxic NK","glioblastoma",110,5.4
"Mature Cytotoxic NK","breast_tumor",82,4
"Mature Cytotoxic NK","prostate_tumor",18,0.9
"Tissue-resident NK","lung_tumor",949,47.5
"Tissue-resident NK","glioblastoma",513,25.7
"Tissue-resident NK","breast_tumor",255,12.8
"Tissue-resident NK","melanoma",166,8.3
"Tissue-resident NK","sarcoma",52,2.6
"Tissue-resident NK","pancreas_tumor",46,2.3
"Tissue-resident NK","prostate_tumor",16,0.8
"Helper NK","melanoma",374,33.4
"Helper NK","lung_tumor",284,25.3
"Helper NK","glioblastoma",197,17.6
"Helper NK","breast_tumor",193,17.2
"Helper NK","sarcoma",38,3.4
"Helper NK","pancreas_tumor",26,2.3
"Helper NK","prostate_tumor",9,0.8
"Activated Stressed NK","lung_tumor",466,44.1
"Activated Stressed NK","melanoma",410,38.8
"Activated Stressed NK","breast_tumor",96,9.1
"Activated Stressed NK","glioblastoma",57,5.4
"Activated Stressed NK","prostate_tumor",13,1.2
"Activated Stressed NK","pancreas_tumor",8,0.8
"Activated Stressed NK","sarcoma",7,0.7
"Proliferating NK","glioblastoma",95,73.1
"Proliferating NK","lung_tumor",21,16.2
"Proliferating NK","melanoma",9,6.9
"Proliferating NK","breast_tumor",4,3.1
"Proliferating NK","pancreas_tumor",1,0.8
