"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"HSPA1A",1.44701376942487e-284,3.58659455384129,0.847,0.254,2.0386976997427e-280,"Upregulated in Activated Stressed NK"
"DNAJB1",1.84892913410034e-275,2.95204430898207,0.876,0.352,2.60495625703396e-271,"Upregulated in Activated Stressed NK"
"HSPA1B",1.49637212056733e-266,3.49182911245422,0.754,0.16,2.1082386806673e-262,"Upregulated in Activated Stressed NK"
"FGFBP2",2.56929811066804e-258,-3.68471203722213,0.114,0.788,3.6198841081202e-254,"Upregulated in Mature Cytotoxic NK"
"JUN",1.45799882129788e-235,2.48572107203398,0.895,0.42,2.05417453932659e-231,"Upregulated in Activated Stressed NK"
"HSP90AA1",2.96063847046249e-175,1.94166501283286,0.956,0.803,4.17124354103461e-171,"Upregulated in Activated Stressed NK"
"FCGR3A",2.1020840686096e-170,-2.606144245944,0.187,0.704,2.96162624426407e-166,"Upregulated in Mature Cytotoxic NK"
"CST7",7.18355831777123e-164,-1.44867055410291,0.675,0.92,1.01209153139079e-159,"Upregulated in Mature Cytotoxic NK"
"GZMH",8.76205548958839e-162,-1.81034651598526,0.392,0.84,1.23448599792811e-157,"Upregulated in Mature Cytotoxic NK"
"PRF1",1.60302953833995e-153,-1.61119965645819,0.512,0.868,2.25850831656715e-149,"Upregulated in Mature Cytotoxic NK"
"DUSP1",1.08410008142396e-145,1.81497610813733,0.854,0.55,1.52738860471822e-141,"Upregulated in Activated Stressed NK"
"DNAJA1",8.40406656034975e-139,2.13064611078092,0.78,0.453,1.18404893768768e-134,"Upregulated in Activated Stressed NK"
"GZMB",1.86802695057624e-138,-1.12151827161277,0.67,0.948,2.63186317066687e-134,"Upregulated in Mature Cytotoxic NK"
"JUNB",1.0635534246712e-135,1.79202961833629,0.886,0.671,1.49844042001925e-131,"Upregulated in Activated Stressed NK"
"FOSB",1.09149339324745e-135,2.24194123006262,0.711,0.334,1.53780504174633e-131,"Upregulated in Activated Stressed NK"
