"regulon","avg_log2FC","pval","gene","p_val_adj","sig"
"MYB(+)",1.19147879413846,0,"MYB",0,"Upregulated in Activated Stressed NK"
"ATF3(+)",1.04467133986265,0,"ATF3",0,"Upregulated in Activated Stressed NK"
"SNAI1(+)",1.02313610206565,0,"SNAI1",0,"Upregulated in Activated Stressed NK"
"NR4A1(+)",1.02285901747135,0,"NR4A1",0,"Upregulated in Activated Stressed NK"
"EGR3(+)",0.949127735668332,0,"EGR3",0,"NS"
"KLF5(+)",0.912734172202748,0,"KLF5",0,"NS"
"ZFHX2(+)",0.912729836494858,0,"ZFHX2",0,"NS"
"ZXDA(+)",0.885783309046552,0,"ZXDA",0,"NS"
"EGR1(+)",0.874563332208879,0,"EGR1",0,"NS"
"FOS(+)",0.86328275740457,0,"FOS",0,"NS"
"ERF(+)",0.852372741309661,0,"ERF",0,"NS"
"JUN(+)",0.845334342402119,0,"JUN",0,"NS"
"MXD1(+)",0.798804055962967,0,"MXD1",0,"NS"
"ZNF211(+)",0.789183229533893,0,"ZNF211",0,"NS"
"ZBTB48(+)",0.770947225279177,0,"ZBTB48",0,"NS"
"FOSB(+)",0.769491590783312,0,"FOSB",0,"NS"
"TSC22D1(+)",0.755910005853397,0,"TSC22D1",0,"NS"
"ZNF781(+)",0.747241670453713,0,"ZNF781",0,"NS"
"HEY1(+)",0.74631088837934,0,"HEY1",0,"NS"
"JUNB(+)",0.696851891947695,0,"JUNB",0,"NS"
"EGR4(+)",0.695739962411961,0,"EGR4",0,"NS"
"ZNF296(+)",0.694247932922846,0,"ZNF296",0,"NS"
"TOPORS(+)",0.67922457048903,0,"TOPORS",0,"NS"
"KLF4(+)",0.648794091756806,0,"KLF4",0,"NS"
"CSRNP1(+)",0.637557526994418,0,"CSRNP1",0,"NS"
"MAFG(+)",0.626457382232554,0,"MAFG",0,"NS"
"ZNF267(+)",0.605849345606935,0,"ZNF267",0,"NS"
"NKRF(+)",0.5821621699434,0,"NKRF",0,"NS"
"EGR2(+)",0.581507456048574,0,"EGR2",0,"NS"
"DDIT3(+)",0.571747523056402,0,"DDIT3",0,"NS"
"ETS2(+)",0.532610913024119,0,"ETS2",0,"NS"
"KLF6(+)",0.513902923051923,0,"KLF6",0,"NS"
"DLX2(+)",0.510359120885091,0,"DLX2",0,"NS"
"MYC(+)",0.491533578166915,0,"MYC",0,"NS"
"RFX1(+)",0.489730579601177,0,"RFX1",0,"NS"
"HES1(+)",0.485752069536201,0,"HES1",0,"NS"
"AHR(+)",0.474579628560266,0,"AHR",0,"NS"
"TSHZ2(+)",0.474512772030483,0,"TSHZ2",0,"NS"
"SNAPC4(+)",0.474496512767484,0,"SNAPC4",0,"NS"
"AHDC1(+)",0.47370370104351,0,"AHDC1",0,"NS"
"THAP2(+)",0.47337348251404,0,"THAP2",0,"NS"
"NFKB2(+)",0.465359788353955,0,"NFKB2",0,"NS"
"CSRNP2(+)",0.463547778629479,0,"CSRNP2",0,"NS"
"ZNF433(+)",0.457913212510213,0,"ZNF433",0,"NS"
"TGIF1(+)",0.456723100603705,0,"TGIF1",0,"NS"
"HES4(+)",0.449521253900346,0,"HES4",0,"NS"
"ZNF440(+)",0.42951988648835,0,"ZNF440",0,"NS"
"ZNF514(+)",0.420114013109226,0,"ZNF514",0,"NS"
"ZNF165(+)",0.406842238654685,0,"ZNF165",0,"NS"
"ZNF566(+)",0.400357942002051,0,"ZNF566",0,"NS"
"GPBP1(+)",0.399923940620061,0,"GPBP1",0,"NS"
"NR4A2(+)",0.394475171454481,0,"NR4A2",0,"NS"
"NKX3-1(+)",0.390268957734441,0,"NKX3-1",0,"NS"
"TCF7(+)",0.380465432724835,0,"TCF7",0,"NS"
"MAFF(+)",0.378015227716517,0,"MAFF",0,"NS"
"NR1D1(+)",0.376294964250714,0,"NR1D1",0,"NS"
"ZBED2(+)",0.368864679374586,0,"ZBED2",0,"NS"
"ZNF331(+)",0.366432970574798,0,"ZNF331",0,"NS"
"ZBTB10(+)",0.36418264517222,0,"ZBTB10",0,"NS"
"ZNF324(+)",0.362459928490184,0,"ZNF324",0,"NS"
"DEAF1(+)",0.362354661223388,0,"DEAF1",0,"NS"
"ZNF600(+)",0.348298082059784,0,"ZNF600",0,"NS"
"ZNF570(+)",0.343420215748841,0,"ZNF570",0,"NS"
"GTF2B(+)",0.343181200841761,0,"GTF2B",0,"NS"
"VDR(+)",0.339550424412575,0,"VDR",0,"NS"
"REL(+)",0.339235295318693,0,"REL",0,"NS"
"ZNF222(+)",0.339077646693691,0,"ZNF222",0,"NS"
"ATF4(+)",0.338968825425221,0,"ATF4",0,"NS"
"TFE3(+)",0.316318652388211,0,"TFE3",0,"NS"
"IKZF4(+)",0.30823341332267,0,"IKZF4",0,"NS"
"ZNF12(+)",0.303594151168422,0,"ZNF12",0,"NS"
"KLF10(+)",0.302276559873437,0,"KLF10",0,"NS"
"DACH1(+)",0.301467507842993,0,"DACH1",0,"NS"
"ZNF337(+)",0.290536441947015,0,"ZNF337",0,"NS"
"YBX3(+)",0.284562925325349,0,"YBX3",0,"NS"
"ZNF131(+)",0.282658849583361,0,"ZNF131",0,"NS"
"THAP3(+)",0.281660040187642,0,"THAP3",0,"NS"
"GZF1(+)",0.277122098195792,0,"GZF1",0,"NS"
"ZBTB33(+)",0.276275653346298,0,"ZBTB33",0,"NS"
"ZBTB43(+)",0.27607643014228,0,"ZBTB43",0,"NS"
"ZNF3(+)",0.275341041872973,0,"ZNF3",0,"NS"
"ZNF791(+)",0.271980290534817,0,"ZNF791",0,"NS"
"BCL6(+)",0.268716230449638,0,"BCL6",0,"NS"
"IRF4(+)",0.249813145719173,0,"IRF4",0,"NS"
"KDM2B(+)",0.246798228191889,0,"KDM2B",0,"NS"
"ATF5(+)",0.225564275203995,0,"ATF5",0,"NS"
"SAFB2(+)",0.218676261374714,0,"SAFB2",0,"NS"
"ZNF667(+)",0.218387698894969,0,"ZNF667",0,"NS"
"ZNF335(+)",0.21476474844522,0,"ZNF335",0,"NS"
"RBPJ(+)",0.21211972079388,0,"RBPJ",0,"NS"
"NFKB1(+)",0.205649498626083,0,"NFKB1",0,"NS"
"ZNF426(+)",0.202974696606294,0,"ZNF426",0,"NS"
"GATA3(+)",0.201888356713748,0,"GATA3",0,"NS"
