"gene","betweenness","TF","nes","pval","rank"
"FOSB",0.00638255400817863,TRUE,9.64013074819431,5.41190005417785e-22,1
"FOS",0.00592721108975458,TRUE,4.86447259736315,1.1476240486011e-06,2
"ZNF683",0.00282293298817534,TRUE,3.80562057179257,0.000141449086168188,3
"YBX1",0.00251381298009403,TRUE,2.27043157541305,0.0231814104956031,4
"MXD1",0.00170347291177657,TRUE,2.33918561488701,0.0193258292468198,5
"REL",0.00125818422770807,TRUE,6.06366895621746,1.33050871669104e-09,6
"EGR3",0.000787306100708207,TRUE,3.2420156654364,0.00118687498153514,7
"GPBP1",0.000542333148506557,TRUE,3.23782994753912,0.00120442577557099,8
"ZFHX2",0.000477162746174373,TRUE,2.05353281451561,0.0400209305863014,9
"JUNB",0.000429545337231162,TRUE,7.36509895746561,1.7701550750361e-13,10
"JUN",0.00041924249328546,TRUE,3.85601375103698,0.000115251007465152,11
"ATF3",0.00038394571310111,TRUE,5.45678678675589,4.84827938022286e-08,12
"EGR1",0.000334275829634485,TRUE,3.65782618005396,0.000254363447303414,13
"NR4A2",0.000313849371912731,TRUE,4.22480105988619,2.39151947419932e-05,14
"ZNF331",0.000304714414878944,TRUE,4.21909834588751,2.45281270842444e-05,15
"TOPORS",0.000203142943252629,TRUE,1.96038813808756,0.049950441236693,16
"KLF6",0.000127785329342259,TRUE,3.23712849277025,0.00120739033790571,17
"NR4A1",0.000110631267621216,TRUE,6.57884991099676,4.74101035538744e-11,18
"MYB",7.44903711539981e-05,TRUE,2.47724834598727,0.0132399740290542,19
