condition,genes,scenario,n_genes,projection,magnitude
SMAD4_ideal,SMAD4,ideal,1,-9e-06,0.009829
NR4A1_ideal,NR4A1,ideal,1,0.082798,0.736006
ATF3_ideal,ATF3,ideal,1,0.024293,0.327825
SMAD4+NR4A1_ideal,SMAD4+NR4A1,ideal,2,0.082788,0.736052
SMAD4+ATF3_ideal,SMAD4+ATF3,ideal,2,0.024284,0.327958
NR4A1+ATF3_ideal,NR4A1+ATF3,ideal,2,0.08528,0.814612
SMAD4+NR4A1+ATF3_ideal,SMAD4+NR4A1+ATF3,ideal,3,0.085271,0.814653
SMAD4_realistic,SMAD4,realistic,1,-3e-06,0.002678
NR4A1_realistic,NR4A1,realistic,1,0.060781,0.540917
ATF3_realistic,ATF3,realistic,1,0.017678,0.238677
SMAD4+NR4A1_realistic,SMAD4+NR4A1,realistic,2,0.060779,0.540918
SMAD4+ATF3_realistic,SMAD4+ATF3,realistic,2,0.017676,0.238688
NR4A1+ATF3_realistic,NR4A1+ATF3,realistic,2,0.062511,0.597438
SMAD4+NR4A1+ATF3_realistic,SMAD4+NR4A1+ATF3,realistic,3,0.062509,0.597438
