scenario,term,actual_projection,expected_projection,percent_change
ideal,SMAD4 (single),-9.193425070608396e-06,,
ideal,NR4A1 (single),0.08279783433308256,,
ideal,ATF3 (single),0.0242929664122871,,
ideal,SMAD4 x NR4A1 (pair),0.08278849008674984,0.08278864090801195,-0.00018217627498652152
ideal,SMAD4 x ATF3 (pair),0.02428376748175503,0.02428377298721649,-2.267135944903259e-05
ideal,NR4A1 x ATF3 (pair),0.08528029498015462,0.10709080074536967,-20.366367244814988
ideal,SMAD4 x NR4A1 x ATF3 -- total synergy (vs. 3 singles),0.08527097715487655,0.10708160732029906,-20.368231959932437
ideal,SMAD4 x NR4A1 x ATF3 -- pure triple (vs. 3 pairs),0.08527097715487655,0.0852709452283604,3.744125981894965e-05
realistic,SMAD4 (single),-2.5049376626782866e-06,,
realistic,NR4A1 (single),0.06078134562220034,,
realistic,ATF3 (single),0.017678283640378867,,
realistic,SMAD4 x NR4A1 (pair),0.060778729937788635,0.06077884068453766,-0.00018221267102327783
realistic,SMAD4 x ATF3 (pair),0.01767577253930854,0.01767577870271619,-3.4869228408521054e-05
realistic,NR4A1 x ATF3 (pair),0.06251123775525029,0.07845962926257921,-20.326875945277244
realistic,SMAD4 x NR4A1 x ATF3 -- total synergy (vs. 3 singles),0.06250862207083858,0.07845712432491653,-20.327666086804296
realistic,SMAD4 x NR4A1 x ATF3 -- pure triple (vs. 3 pairs),0.06250862207083858,0.06250861590743095,9.860092952009988e-06
