condition,genes,scenario,n_genes,projection,magnitude
SMAD4_ideal,SMAD4,ideal,1,-9e-06,0.009829
NR4A1_ideal,NR4A1,ideal,1,0.052276,0.465681
ATF3_ideal,ATF3,ideal,1,0.015295,0.206559
SMAD4+NR4A1_ideal,SMAD4+NR4A1,ideal,2,0.052266,0.465765
SMAD4+ATF3_ideal,SMAD4+ATF3,ideal,2,0.015286,0.206778
NR4A1+ATF3_ideal,NR4A1+ATF3,ideal,2,0.05384,0.515304
SMAD4+NR4A1+ATF3_ideal,SMAD4+NR4A1+ATF3,ideal,3,0.05383,0.515379
SMAD4_realistic,SMAD4,realistic,1,-3e-06,0.002678
NR4A1_realistic,NR4A1,realistic,1,0.039824,0.355004
ATF3_realistic,ATF3,realistic,1,0.011585,0.156518
SMAD4+NR4A1_realistic,SMAD4+NR4A1,realistic,2,0.039822,0.355009
SMAD4+ATF3_realistic,SMAD4+ATF3,realistic,2,0.011582,0.156537
NR4A1+ATF3_realistic,NR4A1+ATF3,realistic,2,0.040987,0.392408
SMAD4+NR4A1+ATF3_realistic,SMAD4+NR4A1+ATF3,realistic,3,0.040985,0.392412
