scenario,term,actual_projection,expected_projection,percent_change
ideal,SMAD4 (single),-9.193425070608396e-06,,
ideal,NR4A1 (single),0.05227550981010237,,
ideal,ATF3 (single),0.01529529386060646,,
ideal,SMAD4 x NR4A1 (pair),0.052266231616406304,0.052266316385031764,-0.00016218595707958612
ideal,SMAD4 x ATF3 (pair),0.0152860993335835,0.015286100435535853,-7.208851969348521e-06
ideal,NR4A1 x ATF3 (pair),0.05383962743917415,0.06757080367070883,-20.321167554037828
ideal,SMAD4 x NR4A1 x ATF3 -- total synergy (vs. 3 singles),0.05383033603495076,0.06756161024563823,-20.324077772515732
ideal,SMAD4 x NR4A1 x ATF3 -- pure triple (vs. 3 pairs),0.05383033603495076,0.05383034814352572,-2.2493956252817672e-05
realistic,SMAD4 (single),-2.5049376626782866e-06,,
realistic,NR4A1 (single),0.03982422671209491,,
realistic,ATF3 (single),0.01158485635154404,,
realistic,SMAD4 x NR4A1 (pair),0.039821650659265205,0.03982172177443223,-0.00017858385789756213
realistic,SMAD4 x ATF3 (pair),0.011582349653982823,0.011582351413881361,-1.519465672191287e-05
realistic,NR4A1 x ATF3 (pair),0.04098741364366353,0.05140908306363895,-20.272039100706202
realistic,SMAD4 x NR4A1 x ATF3 -- total synergy (vs. 3 singles),0.040984833187324717,0.05140657812597627,-20.27317382050244
realistic,SMAD4 x NR4A1 x ATF3 -- pure triple (vs. 3 pairs),0.040984833187324717,0.04098483583093528,-6.450216312860654e-06
