condition,uniform_projection,hypoxia_projection,percent_change
SMAD4_ideal,-9e-06,-9e-06,0.0
NR4A1_ideal,0.082798,0.052276,-36.86367496062001
ATF3_ideal,0.024293,0.015295,-37.03817968945003
SMAD4+NR4A1_ideal,0.082788,0.052266,-36.86775593848953
SMAD4+ATF3_ideal,0.024284,0.015286,-37.052191983520224
NR4A1+ATF3_ideal,0.08528,0.05384,-36.867446985610165
SMAD4+NR4A1+ATF3_ideal,0.085271,0.05383,-36.87144462156283
SMAD4_realistic,-3e-06,-3e-06,0.0
NR4A1_realistic,0.060781,0.039824,-34.479524425748906
ATF3_realistic,0.017678,0.011585,-34.46843264193852
SMAD4+NR4A1_realistic,0.060779,0.039822,-34.48094308646215
SMAD4+ATF3_realistic,0.017676,0.011582,-34.473304472405744
NR4A1+ATF3_realistic,0.062511,0.040987,-34.431927577340254
SMAD4+NR4A1+ATF3_realistic,0.062509,0.040985,-34.43331203033367
