"k_param","resolution","n_clusters","avg_silhouette"
10,0.1,2,0.2241
40,0.8,5,0.0323
15,0.6,5,0.0322
35,0.7,5,0.0319
30,0.7,5,0.0318
25,0.5,4,0.0306
5,0.6,6,0.0281
15,0.8,7,0.0281
15,0.5,3,0.0278
15,0.4,3,0.0275
20,0.3,3,0.0271
20,0.4,3,0.0271
35,0.4,3,0.0269
40,0.6,3,0.0269
45,0.5,3,0.0269
35,0.5,3,0.0268
40,0.5,3,0.0268
45,0.6,3,0.0268
30,0.4,3,0.0267
30,0.5,3,0.0267
30,0.6,3,0.0267
50,0.6,3,0.0267
20,0.6,6,0.0266
35,0.6,3,0.0266
15,0.7,6,0.0262
5,0.5,5,0.0261
25,0.3,3,0.0257
25,0.4,3,0.0257
40,0.7,3,0.0256
5,0.4,3,0.0254
10,0.2,3,0.0253
20,0.5,3,0.0253
50,0.7,3,0.0253
45,0.7,3,0.0252
5,0.3,3,0.0241
5,0.2,3,0.0235
10,0.5,6,0.0235
35,0.1,2,0.0235
35,0.3,2,0.0235
5,0.8,8,0.0234
5,0.7,8,0.0232
50,0.2,2,0.0232
40,0.2,2,0.023
50,0.3,2,0.023
40,0.3,2,0.0229
45,0.2,2,0.0229
15,0.2,2,0.0228
15,0.3,2,0.0228
45,0.3,2,0.0228
45,0.4,2,0.0228
50,0.4,2,0.0227
20,0.1,2,0.0226
25,0.1,2,0.0226
25,0.2,2,0.0226
35,0.2,2,0.0225
40,0.4,2,0.0225
20,0.2,2,0.0224
50,0.5,2,0.0223
30,0.2,2,0.0221
30,0.3,2,0.0221
10,0.4,5,0.0192
15,1.2,11,0.0161
10,0.3,4,0.0148
15,1.3,11,0.0147
15,1.1,10,0.0142
15,1.4,11,0.014
20,1.1,11,0.0137
20,1.2,11,0.0135
20,1.3,11,0.0134
20,1.4,12,0.0128
40,1.1,7,0.0122
35,1.2,10,0.0119
35,1.3,10,0.0119
40,1.2,7,0.0118
25,1.2,11,0.0117
10,0.8,11,0.0115
20,1.5,13,0.011
25,1.3,12,0.011
15,0.9,9,0.0109
20,1,10,0.0106
35,1.4,9,0.0106
20,0.9,9,0.0105
30,1.5,10,0.0105
30,1.3,9,0.0102
30,1.6,13,0.01
25,1.4,12,0.0097
30,1.1,9,0.0097
30,1.4,9,0.0093
35,1.1,9,0.0092
40,1.3,8,0.0092
15,1.5,12,0.0091
50,1.2,8,0.009
15,1.6,14,0.0088
35,0.8,6,0.0088
50,0.8,6,0.0088
50,1.3,8,0.0087
15,1.8,15,0.0086
20,1.6,14,0.0086
15,1.7,15,0.0085
15,1,9,0.0084
35,1.5,10,0.0084
40,0.9,6,0.0084
30,1.7,14,0.0083
50,0.9,6,0.0083
10,0.9,10,0.0082
25,1.1,9,0.0082
30,0.8,6,0.0082
35,0.9,6,0.0082
45,0.8,6,0.0082
45,0.9,6,0.0082
45,1,6,0.0081
45,1.3,7,0.0081
45,1.1,6,0.008
30,0.9,6,0.0079
50,1,6,0.0079
40,1,6,0.0078
25,0.9,9,0.0077
35,1,8,0.0075
45,1.2,8,0.0075
10,1,12,0.0074
25,0.6,6,0.0073
25,1,9,0.0072
40,1.4,8,0.0071
15,1.9,16,0.007
50,1.5,9,0.0067
40,1.5,8,0.0066
10,0.6,8,0.0065
50,1.1,6,0.0064
15,2,16,0.0063
25,1.5,13,0.0061
30,1,7,0.0061
45,1.7,11,0.0061
25,0.7,7,0.006
35,1.6,11,0.0058
25,0.8,7,0.0055
25,1.7,14,0.0054
5,1.1,11,0.005
10,0.7,9,0.005
35,1.8,15,0.0047
5,1.2,13,0.0046
30,1.2,8,0.0046
20,0.7,7,0.0044
45,1.9,14,0.0042
5,1.4,14,0.004
5,1.3,14,0.0039
5,1,11,0.0038
20,0.8,7,0.0038
40,1.8,13,0.0037
20,2,16,0.0032
25,1.6,14,0.0031
25,1.8,15,0.0031
20,1.7,15,0.0028
20,1.8,15,0.0027
35,2,16,0.0027
25,1.9,16,0.0024
10,1.2,14,0.0022
10,1.1,13,0.0011
20,1.9,15,0.0011
40,1.6,10,0.0011
50,1.9,13,7e-04
10,1.6,16,6e-04
10,1.4,16,-1e-04
50,1.6,10,-6e-04
10,1.3,15,-8e-04
45,2,15,-8e-04
10,1.5,16,-0.0015
40,2,15,-0.0022
50,2,15,-0.0025
10,1.9,20,-0.0029
10,1.7,18,-0.003
10,2,20,-0.0032
10,1.8,19,-0.0034
30,1.9,15,-0.0039
25,2,16,-0.0052
35,1.7,13,-0.0061
35,1.9,15,-0.0069
30,2,15,-0.007
50,1.8,13,-0.0086
5,1.8,23,-0.0092
5,1.5,18,-0.0096
5,1.6,21,-0.0097
50,1.7,12,-0.0105
5,2,26,-0.0128
5,1.9,25,-0.0133
40,1.7,12,-0.0149
45,1.8,14,-0.015
30,1.8,15,-0.0153
40,1.9,14,-0.0165
45,1.6,10,-0.0302
50,1.4,9,-0.0337
45,1.5,9,-0.0344
45,1.4,9,-0.0352
5,1.7,21,-0.0367
5,0.9,10,-0.0481
5,0.1,1,NA
15,0.1,1,NA
30,0.1,1,NA
40,0.1,1,NA
45,0.1,1,NA
50,0.1,1,NA
